0: 9-10
1: 9-11
2: 9-12
3: 10-37
4: 11-17
5: 11-88
6: 12-16
7: 13-14
8: 13-15
9: 13-31
10: 13-98
11: 14-15
12: 14-94
13: 16-17
14: 17-85
15: 18-19
16: 18-20
17: 19-101
18: 19-101
19: 20-21
20: 20-22
21: 21-24
22: 21-28
23: 22-24
24: 24-109
25: 24-114
26: 25-26
27: 25-27
28: 26-73
29: 26-115
30: 27-73
31: 28-30
32: 30-95
33: 31-32
34: 31-33
35: 32-33
36: 32-90
37: 33-34
38: 34-35
39: 34-36
40: 35-36
41: 35-38
42: 36-97
43: 37-34
44: 37-38
45: 46-47
46: 46-48
47: 47-65
48: 48-64
49: 48-65
50: 49-50
51: 49-51
52: 49-52
53: 50-51
54: 50-62
55: 51-89
56: 52-61
57: 52-62
58: 61-62
59: 61-63
60: 63-75
61: 63-78
62: 64-66
63: 65-52
64: 65-64
65: 66-79
66: 66-80
67: 73-74
68: 74-77
69: 74-108
70: 75-76
71: 76-78
72: 76-79
73: 77-75
74: 77-104
75: 79-80
76: 85-47
77: 88-89
78: 88-90
79: 88-91
80: 89-91
81: 90-91
82: 91-104
83: 94-95
84: 94-96
85: 95-96
86: 97-99
87: 98-99
88: 98-100
89: 99-100
90: 101-30
91: 101-96
92: 104-107
93: 108-107
94: 108-112
95: 109-107
96: 110-111
97: 110-112
98: 111-115
99: 114-112
