param_seed,config_idx,blocked_idx,blocked_edge,flow_blocked,outcome,worst_gap,elapsed_s
1,1,0,"(0, 1)",-2,not_connected,-1,0.053
1,1,1,"(0, 11)",2,not_connected,-1,0.009
1,1,2,"(1, 2)",-1,eulerian,0.0,0.007
1,1,3,"(1, 3)",-3,eulerian,0.0,0.015
1,1,4,"(1, 5)",2,eulerian,0.0,0.019
1,1,7,"(2, 11)",-1,eulerian,0.0,0.006
1,1,8,"(3, 4)",-2,eulerian,0.0,0.006
1,1,10,"(3, 8)",-1,eulerian,0.0,0.026
1,1,11,"(4, 5)",-2,eulerian,0.0,0.006
1,1,13,"(6, 7)",1,eulerian,0.0,0.007
1,1,14,"(6, 9)",-4,eulerian,0.0,0.016
1,1,15,"(6, 10)",3,eulerian,0.0,0.025
1,1,16,"(7, 8)",2,eulerian,0.0,0.015
1,1,17,"(7, 10)",-1,eulerian,0.0,0.007
1,1,18,"(8, 9)",4,eulerian,0.0,0.034
1,1,19,"(8, 11)",-3,eulerian,0.0,0.025
1,1,21,"(10, 11)",2,eulerian,0.0,0.023
2,2,0,"(0, 1)",2,eulerian,0.0,0.01
2,2,1,"(0, 11)",-2,eulerian,0.0,0.009
2,2,2,"(1, 2)",2,eulerian,0.0,0.006
2,2,5,"(2, 3)",-3,eulerian,0.0,0.028
2,2,7,"(2, 11)",5,eulerian,0.0,0.021
2,2,8,"(3, 4)",-2,eulerian,0.0,0.006
2,2,9,"(3, 6)",-1,eulerian,0.0,0.023
2,2,11,"(4, 5)",-2,eulerian,0.0,0.006
2,2,12,"(5, 6)",-2,eulerian,0.0,0.031
2,2,15,"(6, 10)",-3,eulerian,0.0,0.013
2,2,16,"(7, 8)",-4,eulerian,0.0,0.019
2,2,17,"(7, 10)",4,eulerian,0.0,0.008
2,2,18,"(8, 9)",-2,eulerian,0.0,0.023
2,2,19,"(8, 11)",-2,eulerian,0.0,0.011
2,2,20,"(9, 10)",-2,eulerian,0.0,0.008
2,2,21,"(10, 11)",-1,eulerian,0.0,0.007
3,3,0,"(0, 1)",2,eulerian,0.0,0.01
3,3,1,"(0, 11)",-2,eulerian,0.0,0.009
3,3,3,"(1, 3)",-4,eulerian,0.0,0.025
3,3,4,"(1, 5)",6,eulerian,0.0,0.032
3,3,6,"(2, 8)",-2,eulerian,0.0,0.007
3,3,7,"(2, 11)",2,eulerian,0.0,0.006
3,3,8,"(3, 4)",-4,eulerian,0.0,0.019
3,3,11,"(4, 5)",-4,eulerian,0.0,0.019
3,3,12,"(5, 6)",2,eulerian,0.0,0.023
3,3,14,"(6, 9)",2,eulerian,0.0,0.01
