edge_id,node_u,node_v,length_meters,flow,flow_magnitude,direction
0,41191269,41599903,114.29,-4,4,41599903 -> 41191269
1,41191269,41599899,108.04,9,9,41191269 -> 41599899
2,41191269,41191270,102.14,-2,2,41191270 -> 41191269
3,41191269,11907040131,114.8,-3,3,11907040131 -> 41191269
4,41599903,1680570034,103.05,2,2,41599903 -> 1680570034
5,41599903,317521787,31.0,1,1,41599903 -> 317521787
6,41599903,41599905,106.74,-7,7,41599905 -> 41599903
7,41599899,41548384,114.61,2,2,41599899 -> 41548384
8,41599899,41599897,113.86,1,1,41599899 -> 41599897
9,41599899,42326900,102.2,6,6,41599899 -> 42326900
10,41191270,1680570034,111.75,-1,1,1680570034 -> 41191270
11,41191270,42326900,110.64,-2,2,42326900 -> 41191270
12,41191270,41191273,97.61,1,1,41191270 -> 41191273
13,11907040131,41548384,107.21,-1,1,41548384 -> 11907040131
14,11907040131,3367417791,109.81,-2,2,3367417791 -> 11907040131
15,1680570034,41631297,97.58,1,1,1680570034 -> 41631297
16,42326900,41882910,97.28,6,6,42326900 -> 41882910
17,42326900,42604859,112.91,-2,2,42604859 -> 42326900
18,41191273,41631297,113.64,1,1,41191273 -> 41631297
19,41191273,41882910,111.57,1,1,41191273 -> 41882910
20,41191273,41191280,101.01,-1,1,41191280 -> 41191273
21,41631297,41599806,100.98,1,1,41631297 -> 41599806
22,41631297,41882913,105.13,1,1,41631297 -> 41882913
23,41882910,41599802,101.32,7,7,41882910 -> 41599802
24,41882910,41882908,111.7,0,0,unused
25,41191280,41599806,114.02,1,1,41191280 -> 41599806
26,41191280,41599802,110.65,-1,1,41599802 -> 41191280
27,41191280,41191284,99.72,-1,1,41191284 -> 41191280
28,41599806,41631299,100.27,-1,1,41631299 -> 41599806
29,41599806,1401842466,105.66,3,3,41599806 -> 1401842466
30,41599802,41599801,111.78,2,2,41599802 -> 41599801
31,41599802,42037592,100.44,4,4,41599802 -> 42037592
32,41191284,41631299,113.48,1,1,41191284 -> 41631299
33,41191284,42037592,109.62,-3,3,42037592 -> 41191284
34,41191284,41191287,96.79,1,1,41191284 -> 41191287
35,41631299,41631301,97.41,-1,1,41631301 -> 41631299
36,41631299,42037611,106.99,1,1,41631299 -> 42037611
37,42037592,41701778,96.77,1,1,42037592 -> 41701778
38,42037592,42037586,112.4,0,0,unused
39,41191287,41631301,112.78,1,1,41191287 -> 41631301
40,41191287,41701778,110.65,1,1,41191287 -> 41701778
41,41191287,1680570046,96.62,-1,1,1680570046 -> 41191287
42,41631301,41631302,95.87,-1,1,41631302 -> 41631301
43,41631301,41701787,107.52,1,1,41631301 -> 41701787
44,41701778,41701777,111.57,1,1,41701778 -> 41701777
45,41701778,42326887,96.06,1,1,41701778 -> 42326887
46,1680570046,41191294,95.31,0,0,unused
47,1680570046,41631302,119.99,-5,5,41631302 -> 1680570046
48,1680570046,42326887,109.48,4,4,1680570046 -> 42326887
49,41191294,1398112655,69.99,-1,1,1398112655 -> 41191294
50,41191294,41631305,141.55,1,1,41191294 -> 41631305
51,1398112655,1398112665,32.2,0,0,unused
52,1398112655,1398112662,69.5,-1,1,1398112662 -> 1398112655
53,41631305,41631302,98.44,6,6,41631305 -> 41631302
54,41631305,1680570026,100.88,-5,5,1680570026 -> 41631305
55,41191309,6074464045,202.7,0,0,unused
56,41191309,10128704241,92.28,1,1,41191309 -> 10128704241
57,41191309,8818964308,39.98,-1,1,8818964308 -> 41191309
58,6074464045,41631314,153.23,0,0,unused
59,6074464045,6074464047,74.42,0,0,unused
60,10128704241,41570879,58.0,1,1,10128704241 -> 41570879
61,8818964308,41570875,35.83,1,1,8818964308 -> 41570875
62,8818964308,8819017526,146.42,-2,2,8819017526 -> 8818964308
63,41191320,41631316,115.23,0,0,unused
64,41191320,42327019,113.03,-4,4,42327019 -> 41191320
65,41191320,6074464040,202.56,4,4,41191320 -> 6074464040
66,41631316,41576311,106.56,2,2,41631316 -> 41576311
67,41631316,42401437,203.48,-2,2,42401437 -> 41631316
68,42327019,6074464041,204.51,-2,2,6074464041 -> 42327019
69,42327019,42481008,114.72,-2,2,42481008 -> 42327019
70,6074464040,6074464038,114.42,4,4,6074464040 -> 6074464038
71,6074464040,6074464041,113.27,0,0,unused
72,41245666,256634087,409.24,-4,4,256634087 -> 41245666
73,41245666,41245671,1070.44,4,4,41245666 -> 41245671
74,256634087,2361888663,154.1,-5,5,2361888663 -> 256634087
75,256634087,41245670,166.99,1,1,256634087 -> 41245670
76,41245671,198033100,424.08,4,4,41245671 -> 198033100
77,41245670,41769132,136.13,1,1,41245670 -> 41769132
78,41245670,330557359,84.53,0,0,unused
79,41769132,41533720,103.77,1,1,41769132 -> 41533720
80,41769132,41769129,193.81,1,1,41769132 -> 41769129
81,41769132,2281519344,113.21,-1,1,2281519344 -> 41769132
82,41769132,42290370,109.55,0,0,unused
83,41342712,41499742,105.33,-1,1,41499742 -> 41342712
84,41342712,41548359,38.5,0,0,unused
